epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.20475,3.27309,4.0518,2.27073,0,0,0,0,3.18137,4.04327,2.13961,0,0,0
2,2.55971,3.41714,3.95373,2.2336,0,0,0,0,3.16831,4.04601,2.14148,1.40071e-05,1.40071e-05,1.40071e-05
3,3.71129,3.08039,4.09747,2.08801,0,0,0,0,3.13527,4.05212,2.13845,2.74482e-05,2.74482e-05,2.74482e-05
4,4.69845,3.1221,3.95826,2.3243,0,0,0,0,3.08946,4.05424,2.12309,4.03235e-05,4.03235e-05,4.03235e-05
5,5.63972,3.18836,4.03764,2.3385,0,0,0,0,3.02046,4.0545,2.09435,5.26329e-05,5.26329e-05,5.26329e-05
6,6.6694,3.03236,3.95441,2.14689,0,0,0,0,2.9663,4.06211,2.07051,6.43764e-05,6.43764e-05,6.43764e-05
7,7.79577,3.00196,3.94192,2.20321,0,0,0,0,2.91953,4.06027,2.05278,7.55541e-05,7.55541e-05,7.55541e-05
8,8.74203,2.95832,3.81411,2.23666,0.0013,0.00192,0.00069,7e-05,2.87673,4.07011,2.03389,8.61658e-05,8.61658e-05,8.61658e-05
9,9.68603,2.88168,3.94807,2.06966,0.00129,0.00192,0.00073,7e-05,2.8328,4.07507,2.0185,9.62117e-05,9.62117e-05,9.62117e-05
10,10.7067,2.95644,3.98701,1.92857,0,0,0,0,2.78034,4.08156,1.99705,0.000105692,0.000105692,0.000105692
11,11.7452,3.10642,3.97991,1.85191,0,0,0,0,2.74273,4.07987,1.97414,0.000114606,0.000114606,0.000114606
12,12.7632,2.79667,3.81546,2.05722,0.00132,0.00192,0.00099,0.0001,2.68527,4.07741,1.94213,0.000122954,0.000122954,0.000122954
13,13.7455,2.66168,3.75764,2.02634,0,0,0,0,2.64009,4.07166,1.9178,0.000130736,0.000130736,0.000130736
14,14.7673,2.82162,3.79936,1.84623,0.00383,0.00575,0.00439,0.00051,2.5898,4.06657,1.88704,0.000137953,0.000137953,0.000137953
15,15.7792,2.62309,3.65301,1.80318,0.00377,0.00575,0.00436,0.00058,2.5282,4.0591,1.85525,0.000144603,0.000144603,0.000144603
16,16.9756,2.7705,3.6698,1.7069,0.01128,0.09291,0.01347,0.00163,2.47148,4.04042,1.81514,0.000150688,0.000150688,0.000150688
17,18.3157,2.45603,3.49703,1.76617,0.01219,0.06897,0.01503,0.00269,2.45232,4.02115,1.78369,0.000156207,0.000156207,0.000156207
18,19.3961,2.48021,3.56552,1.69385,0.01219,0.06897,0.01503,0.00269,2.45232,4.02115,1.78369,0.00016116,0.00016116,0.00016116
