epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,0.793213,2.31505,4.67756,2.78569,0.14006,0.00272,0.00124,2e-05,0,2.18657,5.10182,2.45167,0.11151,3.076e-05,3.076e-05,3.076e-05
2,1.21765,2.25336,4.59786,2.73519,0.13899,0.00389,0.00207,6e-05,1e-05,2.07296,4.9256,2.44329,0.09022,6.87532e-05,6.87532e-05,6.87532e-05
3,1.65062,2.02792,4.25244,2.59941,0.14144,0.09562,0.05504,0.02078,0.00994,1.90928,4.48738,2.25267,0.06859,0.000106239,0.000106239,0.000106239
4,2.08203,1.95084,3.88641,2.33464,0.13194,0.10325,0.1336,0.0491,0.01911,1.72584,4.00516,1.94472,0.07083,0.000143217,0.000143217,0.000143217
5,2.85988,1.94361,3.67157,2.13306,0.13632,0.13192,0.16921,0.08162,0.03002,1.47093,3.70375,1.79282,0.06619,0.000179688,0.000179688,0.000179688
6,3.34506,1.77426,3.33234,1.98982,0.13213,0.13678,0.19031,0.10967,0.04444,1.38942,3.44492,1.74831,0.06365,0.000215651,0.000215651,0.000215651
7,3.76657,1.68077,2.96159,1.94167,0.11007,0.37214,0.16022,0.13514,0.06478,1.37842,3.031,1.77029,0.06106,0.000251106,0.000251106,0.000251106
8,4.16781,1.61418,2.55511,1.88309,0.10137,0.37306,0.19547,0.16165,0.08228,1.34755,2.7646,1.75225,0.06178,0.000286054,0.000286054,0.000286054
9,4.58643,1.57388,2.23141,1.86299,0.09971,0.43136,0.21167,0.19602,0.10602,1.27988,2.3589,1.70951,0.06081,0.000320495,0.000320495,0.000320495
10,5.00617,1.47801,1.95111,1.85029,0.08432,0.48335,0.21719,0.21734,0.12691,1.24719,2.06373,1.68351,0.05904,0.000354427,0.000354427,0.000354427
11,5.7916,1.41972,1.80149,1.72544,0.08182,0.46276,0.27941,0.25715,0.15678,1.23193,1.74267,1.6502,0.06255,0.000387853,0.000387853,0.000387853
12,6.22106,1.3922,1.69697,1.73891,0.08218,0.69775,0.30555,0.30083,0.18619,1.20125,1.47443,1.60109,0.06573,0.000420771,0.000420771,0.000420771
13,6.63969,1.33522,1.46679,1.70013,0.06993,0.72559,0.3044,0.30452,0.19153,1.18255,1.38604,1.57305,0.0663,0.000453181,0.000453181,0.000453181
14,7.06019,1.2809,1.32507,1.67272,0.07461,0.74495,0.31728,0.31335,0.19863,1.17089,1.3639,1.54179,0.07076,0.000485084,0.000485084,0.000485084
15,7.49471,1.29175,1.28822,1.66477,0.07946,0.75181,0.33084,0.32979,0.21873,1.12813,1.34784,1.51707,0.06406,0.000516479,0.000516479,0.000516479
16,7.92532,1.26017,1.22135,1.69458,0.06171,0.75635,0.33968,0.33714,0.23408,1.10125,1.29161,1.49502,0.06074,0.000547367,0.000547367,0.000547367
17,9.11181,1.25883,1.19659,1.72649,0.05911,0.92267,0.3555,0.35397,0.25321,1.08347,1.19669,1.49361,0.0553,0.000577747,0.000577747,0.000577747
18,9.52572,1.23161,1.12214,1.62739,0.06986,0.92729,0.36037,0.36837,0.26455,1.07282,1.13231,1.50345,0.05386,0.000607619,0.000607619,0.000607619
19,9.9462,1.19536,1.0931,1.65073,0.0558,0.92824,0.37088,0.37581,0.27678,1.06313,1.07479,1.5174,0.05457,0.000636984,0.000636984,0.000636984
20,10.4318,1.24558,1.08722,1.66457,0.0681,0.9218,0.3933,0.39879,0.30208,1.02518,1.01856,1.49397,0.0549,0.000665842,0.000665842,0.000665842
21,10.8521,1.17665,1.04126,1.67255,0.06355,0.93811,0.39761,0.40858,0.30988,1.01813,1.00235,1.47801,0.05417,0.000667492,0.000667492,0.000667492
22,11.2641,1.13691,1.0093,1.69204,0.05875,0.93875,0.40415,0.41289,0.305,1.03055,0.99571,1.44501,0.05336,0.000662417,0.000662417,0.000662417
23,12.0717,1.26958,1.02385,1.55358,0.06309,0.93585,0.40575,0.41228,0.29684,1.04222,0.98309,1.40776,0.05505,0.000657341,0.000657341,0.000657341
24,12.5013,1.19859,0.99785,1.5465,0.05487,0.7714,0.40295,0.4199,0.30282,1.0021,0.92568,1.38804,0.05846,0.000652266,0.000652266,0.000652266
25,12.9273,1.18544,0.99553,1.63595,0.07182,0.65071,0.45983,0.4338,0.316,0.99021,0.90084,1.3867,0.05776,0.00064719,0.00064719,0.00064719
26,13.3468,1.12539,0.94238,1.62144,0.0579,0.64146,0.48057,0.44677,0.32485,0.98421,0.87889,1.37351,0.05594,0.000642115,0.000642115,0.000642115
27,13.764,1.0949,0.92718,1.63183,0.0578,0.649,0.49082,0.46024,0.33158,0.99477,0.86759,1.36407,0.05813,0.00063704,0.00063704,0.00063704
28,14.1897,1.14695,0.96947,1.60015,0.06286,0.6743,0.50771,0.47634,0.34206,0.98995,0.855,1.32603,0.05791,0.000631964,0.000631964,0.000631964
