epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,79.3786,1.91905,4.1157,2.48539,0.17221,0.32935,0.17975,0.16181,0.08815,1.62245,3.60734,2.68305,0.12763,0.000233423,0.000233423,0.000233423
2,177.645,1.6262,3.12649,2.12969,0.15502,0.44685,0.25831,0.25085,0.14492,1.48913,2.57967,2.19972,0.10536,0.000424752,0.000424752,0.000424752
3,264.992,1.44495,2.25435,1.89014,0.14185,0.52316,0.28804,0.32867,0.20423,1.25366,1.79462,1.96724,0.12644,0.000568957,0.000568957,0.000568957
4,348.32,1.33206,1.86749,1.86039,0.1359,0.58127,0.31489,0.35118,0.23115,1.18608,1.57084,1.81801,0.12128,0.000501942,0.000501942,0.000501942
5,439.077,1.27573,1.68802,1.81674,0.11994,0.50532,0.34288,0.40006,0.27312,1.09434,1.3644,1.62189,0.10746,0.000431256,0.000431256,0.000431256
6,510.437,1.1713,1.61663,1.73895,0.10669,0.52397,0.34542,0.39796,0.27502,1.06739,1.31134,1.61518,0.09634,0.00036057,0.00036057,0.00036057
7,575.28,1.14686,1.45934,1.6596,0.10242,0.53578,0.37343,0.41511,0.29789,1.02265,1.18144,1.57209,0.08018,0.000289884,0.000289884,0.000289884
8,637.184,1.16084,1.37117,1.62793,0.09743,0.5584,0.35875,0.41891,0.30469,1.02434,1.11037,1.55337,0.06776,0.000219198,0.000219198,0.000219198
9,707.072,1.06902,1.28453,1.62554,0.08985,0.55744,0.3803,0.42933,0.3246,0.93536,1.03759,1.53278,0.06229,0.000148512,0.000148512,0.000148512
10,802.005,1.05757,1.28715,1.64123,0.09326,0.57309,0.3838,0.44089,0.33858,0.90765,1.01023,1.52126,0.06115,7.7826e-05,7.7826e-05,7.7826e-05
