epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4308,2.82521,4.74747,2.42679,0.21197,0,0,0,0,2.34996,4.9854,1.8866,0.03862,0.00022491,0.00022491,0.00022491
2,25.21,2.70396,4.5301,2.26533,0.2599,0,0,0,0,2.37155,4.70502,1.70572,0.10151,0.000435472,0.000435472,0.000435472
3,37.8848,2.61167,4.30576,2.11353,0.22147,0.04649,0.09364,0.02161,0.00479,2.36719,4.39313,1.63067,0.14978,0.000622942,0.000622942,0.000622942
4,49.8417,2.47549,4.08483,2.02372,0.24248,0.08097,0.13015,0.03737,0.01485,2.30109,4.14202,1.589,0.12584,0.000709299,0.000709299,0.000709299
5,61.8179,2.49312,3.90313,1.84001,0.2335,0.08097,0.13015,0.03737,0.01485,2.30109,4.14202,1.589,0.12584,0.000668066,0.000668066,0.000668066
6,74.3032,2.40942,3.68229,1.8336,0.26596,0.11012,0.19467,0.06013,0.02476,2.25025,3.90754,1.56729,0.11515,0.000626832,0.000626832,0.000626832
7,86.9846,2.45072,3.64454,1.85124,0.21793,0.11754,0.19892,0.06317,0.0251,2.16942,3.72892,1.55448,0.10238,0.000585599,0.000585599,0.000585599
8,99.5965,2.36314,3.51666,1.75128,0.22072,0.11939,0.19385,0.08769,0.03455,2.08556,3.53902,1.52353,0.09311,0.000544365,0.000544365,0.000544365
9,112.169,2.36435,3.43798,1.73088,0.2153,0.11267,0.22644,0.13157,0.05454,2.06791,3.34032,1.51749,0.07852,0.000503132,0.000503132,0.000503132
10,124.713,2.32004,3.21012,1.6757,0.23528,0.11492,0.24767,0.15982,0.06543,1.98316,3.18621,1.45351,0.04843,0.000461898,0.000461898,0.000461898
11,136.736,2.29561,3.27683,1.7608,0.22614,0.69283,0.12921,0.18103,0.07885,1.91124,3.091,1.4348,0.0464,0.000420665,0.000420665,0.000420665
12,154.332,2.22887,3.1258,1.72885,0.20383,0.67085,0.14798,0.18355,0.08147,1.90101,3.03669,1.45003,0.03511,0.000379431,0.000379431,0.000379431
13,168.592,2.27396,3.14068,1.76505,0.20628,0.67085,0.14798,0.18355,0.08147,1.90101,3.03669,1.45003,0.03511,0.000338198,0.000338198,0.000338198
14,181.28,2.20145,3.1211,1.75335,0.20049,0.6744,0.16129,0.19259,0.08754,1.90061,2.96893,1.44843,0.03735,0.000296964,0.000296964,0.000296964
15,195.175,2.25873,2.90434,1.6785,0.21041,0.67247,0.18388,0.1983,0.09294,1.88258,2.88513,1.45423,0.03888,0.000255731,0.000255731,0.000255731
16,206.518,2.19052,2.9468,1.71304,0.20851,0.68869,0.18347,0.20155,0.0929,1.87974,2.87786,1.42782,0.04114,0.000214497,0.000214497,0.000214497
17,217.491,2.23843,2.94792,1.78909,0.19356,0.69142,0.19153,0.22647,0.11032,1.86244,2.82441,1.43092,0.04068,0.000173264,0.000173264,0.000173264
18,228.892,2.24143,2.82652,1.70728,0.20386,0.69044,0.19153,0.23746,0.11353,1.87386,2.82078,1.41243,0.03838,0.000132031,0.000132031,0.000132031
19,240.284,2.10967,2.86177,1.72809,0.17945,0.69139,0.19094,0.23403,0.11053,1.89998,2.8113,1.40537,0.05151,9.0797e-05,9.0797e-05,9.0797e-05
20,251.454,2.19046,2.93033,1.7532,0.19748,0.69688,0.18548,0.24724,0.11397,1.87584,2.78447,1.39847,0.04706,4.95635e-05,4.95635e-05,4.95635e-05
